Price,Close,High,Low,Open,Volume
Ticker,3090.TW,3090.TW,3090.TW,3090.TW,3090.TW
Date,,,,,
2025-01-02,68.5,70.5,68.5,70.5,1311050
2025-01-03,67.69999694824219,69.30000305175781,67.4000015258789,68.9000015258789,1202013
2025-01-06,68.30000305175781,68.80000305175781,67.5,68.0,821027
2025-01-07,67.80000305175781,69.0999984741211,67.80000305175781,69.0999984741211,855169
2025-01-08,67.5,68.19999694824219,66.69999694824219,67.80000305175781,1267133
2025-01-09,66.0,67.80000305175781,65.80000305175781,67.19999694824219,1531631
2025-01-10,66.0,66.4000015258789,65.69999694824219,66.0,759675
2025-01-13,64.0,65.19999694824219,63.599998474121094,65.19999694824219,1364000
2025-01-14,65.5,65.5,64.0,64.0999984741211,476050
2025-01-15,65.19999694824219,66.0,64.9000015258789,65.5999984741211,389097
2025-01-16,65.0999984741211,66.0999984741211,65.0999984741211,66.0999984741211,508140
2025-01-17,65.5,67.5,64.5999984741211,65.0999984741211,932201
2025-01-20,65.9000015258789,66.80000305175781,65.4000015258789,65.80000305175781,744251
2025-01-21,66.9000015258789,67.9000015258789,66.19999694824219,66.5,2076417
2025-01-22,66.5999984741211,68.19999694824219,66.5,67.0,2067375
2025-02-03,65.5,65.5999984741211,64.0999984741211,65.0,1203100
2025-02-04,65.4000015258789,66.4000015258789,65.0,65.80000305175781,552011
2025-02-05,68.19999694824219,68.5,66.0,66.0,2204170
2025-02-06,68.69999694824219,69.30000305175781,68.0999984741211,68.30000305175781,1523341
2025-02-07,72.0,74.0,71.19999694824219,72.5,7918941
2025-02-10,72.5,73.4000015258789,71.5999984741211,72.0,4318602
2025-02-11,73.5999984741211,73.69999694824219,72.4000015258789,72.80000305175781,4502143
2025-02-12,72.69999694824219,76.5999984741211,72.5999984741211,74.5,8533986
2025-02-13,73.5,74.30000305175781,73.0,73.4000015258789,3259454
2025-02-14,71.9000015258789,73.80000305175781,71.30000305175781,73.69999694824219,3660339
2025-02-17,71.80000305175781,72.0,70.80000305175781,71.0,1587668
2025-02-18,71.5,72.30000305175781,71.5,72.0999984741211,1009813
2025-02-19,71.0,71.69999694824219,71.0,71.5,1036339
2025-02-20,71.4000015258789,72.0,70.80000305175781,71.0999984741211,1098539
2025-02-21,71.5999984741211,72.0,71.30000305175781,71.4000015258789,729380
2025-02-24,71.69999694824219,72.0999984741211,71.0,71.5999984741211,652671
2025-02-25,70.5,71.69999694824219,70.30000305175781,71.69999694824219,1780262
2025-02-26,71.19999694824219,71.30000305175781,69.30000305175781,70.0999984741211,1164426
2025-02-27,71.0,72.0,70.5,71.5,987695
2025-03-03,70.0,70.9000015258789,69.9000015258789,70.5,810029
2025-03-04,70.4000015258789,70.5999984741211,68.5999984741211,69.19999694824219,815103
2025-03-05,70.30000305175781,70.80000305175781,69.9000015258789,70.80000305175781,728208
2025-03-06,70.30000305175781,71.0999984741211,70.30000305175781,70.4000015258789,459649
2025-03-07,70.80000305175781,71.80000305175781,70.5,71.0,1496665
2025-03-10,71.30000305175781,71.5999984741211,70.4000015258789,70.80000305175781,970006
2025-03-11,70.4000015258789,70.69999694824219,69.30000305175781,69.5999984741211,1286124
2025-03-12,71.80000305175781,72.4000015258789,70.5999984741211,70.5999984741211,1345840
2025-03-13,71.9000015258789,74.4000015258789,71.69999694824219,72.5,4114444
2025-03-14,73.5,74.0999984741211,72.5,73.19999694824219,3389226
2025-03-17,74.19999694824219,74.80000305175781,73.80000305175781,74.4000015258789,2585141
2025-03-18,74.9000015258789,75.5,74.30000305175781,74.69999694824219,3362369
2025-03-19,74.69999694824219,75.69999694824219,74.0999984741211,75.69999694824219,1825751
2025-03-20,74.9000015258789,75.5,74.19999694824219,75.30000305175781,1278174
2025-03-21,73.5,75.0999984741211,73.30000305175781,74.9000015258789,1258130
2025-03-24,71.69999694824219,73.80000305175781,71.5,73.80000305175781,1501115
2025-03-25,71.30000305175781,72.4000015258789,71.0999984741211,72.0999984741211,761100
2025-03-26,71.5999984741211,71.9000015258789,71.0999984741211,71.69999694824219,513140
2025-03-27,71.9000015258789,71.9000015258789,70.9000015258789,71.5999984741211,487337
2025-03-28,70.5999984741211,71.5,69.9000015258789,71.5,1137118
